year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,violent_crime_rate,homicide_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_rate,motor_vehicle_theft_rate
1979,KS,Kansas,2369000,8376,130,2423,5197,107605,31504,69622,6479,626.0,353.56690586745464,5.487547488391726,26.424651751794006,102.2794428028704,219.37526382439847,4542.211903756859,1329.8438159560997,2938.8771633600677,273.4909244406923
1979,KY,Kentucky,3527000,8748,335,3247,4447,103548,32082,62431,9035,719.0,248.0294868159909,9.498157074000568,20.38559682449674,92.06124184859654,126.08449106889708,2935.866175219733,909.611567904735,1770.087893393819,256.16671392117945
1979,LA,Louisiana,4026000,27229,682,8832,16161,188514,56237,115856,16421,1554.0,676.3288623944361,16.939890710382514,38.599105812220564,219.37406855439642,401.41579731743667,4682.414307004471,1396.8455042225532,2877.6949826130153,407.87382016890217
1979,MA,Massachusetts,5769000,30650,212,11724,17286,310756,92570,152135,66051,1428.0,531.287918183394,3.6748136592130347,24.75299011960478,203.2241289651586,299.6359854394176,5386.652799445312,1604.6108511007108,2637.1121511527126,1144.9297971918877
1979,MD,Maryland,4149000,33007,406,13740,17225,228159,62630,145297,20232,1636.0,795.5410942395758,9.785490479633646,39.43118823812967,331.1641359363702,415.1602795854423,5499.132321041215,1509.520366353338,3501.976379850567,487.6355748373102
1979,ME,Maine,1097000,2221,31,349,1710,45030,12592,29828,2610,131.0,202.461257976299,2.8258887876025525,11.941659070191431,31.814038286235185,155.87967183226982,4104.831358249772,1147.8577939835916,2719.0519598906108,237.92160437556973
1979,MI,Michigan,9208000,56558,834,20218,31406,509457,138806,315211,55440,4100.0,614.2267593397046,9.057341442224153,44.5264986967854,219.56993918331884,341.07298001737615,5532.7649869678535,1507.4500434404865,3423.2298001737618,602.0851433536055
1979,MN,Minnesota,4060000,8973,93,3754,4255,169376,45183,110827,13366,871.0,221.00985221674878,2.29064039408867,21.45320197044335,92.46305418719213,104.80295566502463,4171.822660098523,1112.8817733990147,2729.729064039409,329.2118226600985
1979,MO,Missouri,4868000,25662,543,10267,13214,214809,70423,124398,19988,1638.0,527.1569433032046,11.154478225143796,33.648315529991784,210.90797041906328,271.4461791290057,4412.674609695974,1446.6516023007396,2555.4231717337716,410.59983566146263
1979,MT,Montana,786000,1762,33,260,1307,33298,6314,24537,2447,162.0,224.17302798982186,4.198473282442748,20.610687022900763,33.07888040712468,166.28498727735368,4236.386768447837,803.3078880407124,3121.7557251908397,311.323155216285
